scenario,controller,residual_bound_nm,failure_penalized_rmse_rad_mean,failure_penalized_rmse_rad_std,failure_penalized_rmse_rad_count,rmse_rad_mean,rmse_rad_std,rmse_rad_count,safety_violation_rate_mean,safety_violation_rate_std,safety_violation_rate_count,torque_smoothness_mean,torque_smoothness_std,torque_smoothness_count,completed_mean,completed_std,completed_count,failure_penalized_rmse_rad_ci95,rmse_rad_ci95,safety_violation_rate_ci95,torque_smoothness_ci95,completed_ci95
nominal,Fuzzy only,0.0,0.02917288500529887,0.002594727880886278,20,0.02917288500529887,0.002594727880886278,20,0.0,0.0,20,34.64000375784654,1.2558203897540772,20,1.0,0.0,20,0.0011371896332560362,0.0011371896332560362,0.0,0.5503875527679978,0.0
nominal,Fuzzy-TD3 residual,6.0,0.15607699555097715,0.013623252784081597,20,0.15607699555097715,0.013623252784081597,20,0.0,0.0,20,116.09149823598798,77.08973936404655,20,1.0,0.0,20,0.0059706537827744635,0.0059706537827744635,0.0,33.7860679268069,0.0
nominal,Fuzzy-TD3 residual,10.0,0.133523597806893,0.01657179417953485,20,0.133523597806893,0.01657179417953485,20,0.0,0.0,20,60.53917173435203,29.75985437600228,20,1.0,0.0,20,0.0072629090257367536,0.0072629090257367536,0.0,13.042831247506195,0.0
nominal,Fuzzy-TD3 residual,14.0,0.13079519526702263,0.031692067379030416,20,0.13079519526702263,0.031692067379030416,20,0.0,0.0,20,112.24266436586421,55.846978609656446,20,1.0,0.0,20,0.013889660933375056,0.013889660933375056,0.0,24.476017539797024,0.0
nominal,Fuzzy-TD3 residual,18.0,0.15023746127154014,0.07014047818408048,20,0.15023746127154014,0.07014047818408048,20,0.0,0.0,20,48.11446337011044,19.349276955032604,20,1.0,0.0,20,0.03074041993001321,0.03074041993001321,0.0,8.480194523036916,0.0
payload_2x,Fuzzy only,0.0,0.5192130067163571,0.0009727483326802032,20,0.5192130067163571,0.0009727483326802032,20,0.25833333333333336,0.0017099639201419406,20,29.82748546553063,1.166166470583952,20,1.0,0.0,20,0.0004263257537870128,0.0004263257537870128,0.0007494247306438425,0.5110949902561183,0.0
payload_2x,Fuzzy-TD3 residual,6.0,0.44026418775738085,0.01961650910806644,20,0.44026418775738085,0.01961650910806644,20,0.19816666666666666,0.009519140459501547,20,111.1965159334216,76.11927215440267,20,1.0,0.0,20,0.008597314177988544,0.008597314177988544,0.004171947250343553,33.36074191927004,0.0
payload_2x,Fuzzy-TD3 residual,10.0,0.41362688877042125,0.007581663166237804,20,0.41362688877042125,0.007581663166237804,20,0.185,0.0035043832202523114,20,70.23514874197483,36.34252781545506,20,1.0,0.0,20,0.003322810387553947,0.003322810387553947,0.001535863663539982,15.927815083228749,0.0
payload_2x,Fuzzy-TD3 residual,14.0,0.39818573728817475,0.02765994488175446,20,0.39818573728817475,0.02765994488175446,20,0.17716666666666667,0.008870412083230172,20,57.62869779343989,54.592304368367664,20,1.0,0.0,20,0.012122505333862069,0.012122505333862069,0.003887629503681484,23.926132308741646,0.0
payload_2x,Fuzzy-TD3 residual,18.0,0.3932769999392241,0.014861453282728435,20,0.3932769999392241,0.014861453282728435,20,0.17633333333333334,0.009170254481281417,20,56.49215542227906,36.02901508398943,20,1.0,0.0,20,0.006513319077785164,0.006513319077785164,0.004019041228658995,15.790412070472469,0.0
severe_shift,Fuzzy only,0.0,0.8891493072705753,0.0007126622991514455,20,0.8891493072705753,0.0007126622991514455,20,0.33,0.0,20,35.301602008867725,1.1609738669436962,20,1.0,0.0,20,0.00031233802379716883,0.00031233802379716883,0.0,0.5088192313710326,0.0
severe_shift,Fuzzy-TD3 residual,6.0,0.7886510086607589,0.014202500393834092,20,0.7886510086607589,0.014202500393834092,20,0.29333333333333333,0.004836508334066745,20,101.24245608691527,79.8520550442642,20,1.0,0.0,20,0.00622452024089179,0.00622452024089179,0.0021196932361086307,34.99670615151783,0.0
severe_shift,Fuzzy-TD3 residual,10.0,0.7347839448874147,0.024756406365151157,20,0.7347839448874147,0.024756406365151157,20,0.27616666666666667,0.0037890269392284164,20,78.11672675708141,50.57374798775725,20,1.0,0.0,20,0.010849973472172947,0.010849973472172947,0.0016606142737197699,22.164922322003406,0.0
severe_shift,Fuzzy-TD3 residual,14.0,0.7081386998735486,0.04362468311533776,20,0.7081386998735486,0.04362468311533776,20,0.27016666666666667,0.009270149541114233,20,73.75661674309454,39.25580602579569,20,1.0,0.0,20,0.019119360360785376,0.019119360360785376,0.0040628221689619015,17.204615553904105,0.0
severe_shift,Fuzzy-TD3 residual,18.0,0.6768887976101527,0.0168084606613649,20,0.6768887976101527,0.0168084606613649,20,0.2545,0.010666392540337197,20,118.87636169880128,87.04315618362884,20,1.0,0.0,20,0.007366632684644827,0.007366632684644827,0.004674752643798566,38.14834518373414,0.0
