controller,timesteps,eval_rmse_rad,eval_return
td3_direct,1200,1.2258962868308156,-1494.2379226727126
td3_direct,2400,0.826421820404215,-1081.3013083984445
td3_direct,3600,0.8832960540185847,-1138.4552954304854
td3_direct,4800,1.0078741607411876,-1509.2168961069453
td3_direct,6000,0.816240857030729,-1241.1998791375402
td3_direct,7200,0.5978103723977694,-1279.9415974013882
td3_direct,8400,0.6770531817385218,-1150.4802480720655
td3_direct,9600,0.6599626831991586,-1411.5891330501863
td3_direct,10800,0.5291433951100046,-1097.4823036143846
td3_direct,12000,0.6510541099782191,-1457.507854449983
